fn_name,indent,start,end,lines,kind
test_gt_syntax_not_text_shorthand,4,16883,16912,30,core
test_pipe_syntax_works_for_text,4,16913,16927,15,core
test_aura_dot_prefixed_handler_syntax,4,16928,16993,66,ui
test_aura_model_var_keyword,4,16994,17039,46,ui
test_parse_pac_import,4,17040,17056,17,core
test_parse_super_import,4,17057,17072,16,core
test_parse_pac_deep_path,4,17073,17088,16,core
test_parse_with_items,4,17089,17104,16,core
test_parse_super_with_items,4,17105,17120,16,core
test_parse_local_path_still_works,4,17121,17137,17,core
test_parse_legacy_paths_backward_compat,4,17138,17163,26,core
test_parse_hash_if_simple,4,17164,17176,13,core
test_parse_hash_for_simple,4,17177,17187,11,core
test_parse_hash_is_simple,4,17188,17198,11,core
test_return_with_newline,4,17199,17232,34,core
test_return_void_with_newline,4,17233,17254,22,core
test_msg_multi_param_payload,4,17255,17296,42,ui
test_msg_full_shellstore_declaration,4,17297,17331,35,ui
test_view_condition_none_comparison,4,17332,17361,30,ui
test_struct_literal_construction_unresolved_type,4,17362,17392,31,core
test_on_handler_multi_param_binding,4,17393,17393,1,core
handler_params,8,17394,17441,48,core
test_computed_multiline_body,4,17442,17492,51,core
test_dot_prefix_assignment_not_chained,4,17493,17493,1,core
fn_body_stmt_count,8,17494,17518,25,core
test_bare_return_newline_terminates_statement,4,17519,17537,19,core
test_return_value_same_line_still_works,4,17538,17557,20,core
test_single_arg_map_type_parses,4,17558,17570,13,core
test_err_nested_struct_variant_pattern,4,17571,17574,4,core
msg,0,17575,17588,14,ui
test_top_level_struct_variant_pattern,4,17589,17592,4,core
msg,0,17593,17609,17,ui
test_qualified_unit_variant_pattern_strips_module,4,17610,17612,3,core
f,0,17613,17645,33,core
test_bom_prefixed_source_parses,4,17646,17657,12,core
test_enum_variant_colon_field_style,4,17658,17661,4,ui
main,0,17662,17674,13,core
test_nested_slice_type_parses,4,17675,17691,17,core
test_slice_of_tuple_type_parses,4,17692,17708,17,core
