native,ident,disposition
auto.shell.emit_show,2869,核心
auto.host.call,2930,核心
auto.host.call_value,2931,核心
auto.rc.live,2940,核心
auto.rc.count,2941,核心
auto.rc.assert_unique,2942,核心
auto.hash.hmac_sha256,2814,核心
auto.hash.file_md5,2815,核心
auto.hash.file_sha256,2816,核心
auto.random._vm_new,2870,核心
auto.random._vm_seeded,2871,核心
auto.random.int,2872,核心
auto.random.float,2873,核心
auto.random.bool,2874,核心
auto.fmt.f64_debug,2752,核心
auto.cmp.str_cmp,2880,核心
auto.datetime.cmp,2794,核心
auto.file.create_handle,1010,核心
auto.file.open_handle,1011,核心
auto.file.write_handle,1012,核心
auto.file.try_clone,1013,核心
auto.env.get,1100,核心
auto.env.set,1101,核心
auto.env.remove,1102,核心
auto.env.get_or,1103,核心
auto.env.local_data_dir,1104,核心
auto.env.home_dir,1105,核心
auto.storage.get,1106,核心
auto.storage.set,1107,核心
auto.storage.remove,1108,核心
auto.time.now_ms,1200,核心
auto.time.now_sec,1201,核心
auto.time.sleep_ms,1202,核心
auto.time.instant_now,1203,核心
auto.time.instant_elapsed,1204,核心
auto.time.now,1205,核心
auto.io.read_line,1150,核心
io.read_line,1150,核心
auto.cell.once_new,2850,核心
auto.cell.once_set,2851,核心
auto.cell.once_get,2852,核心
auto.process.exit,1300,核心
auto.process.args,1301,核心
auto.process.current_dir,1302,核心
auto.process.set_current_dir,1303,核心
auto.process.spawn,1304,剔除(UI/异步)
auto.process.spawn_with_output,1305,剔除(UI/异步)
auto.path.join,1400,核心
auto.path.parent,1401,核心
auto.path.extension,1402,核心
auto.path.filename,1403,核心
auto.path.canonicalize,1404,核心
auto.char.is_alpha,1600,核心
auto.char.is_digit,1601,核心
auto.char.is_alphanum,1602,核心
auto.char.is_whitespace,1603,核心
auto.char.is_ident,1604,核心
auto.char.to_lower,1605,核心
auto.char.to_upper,1606,核心
auto.char.to_str,1607,核心
auto.log.debug,1800,核心
auto.log.info,1801,核心
auto.log.warn,1802,核心
auto.log.error,1803,核心
auto.log.noop,1804,核心
auto.math.abs,1700,核心
auto.math.min,1701,核心
auto.math.max,1702,核心
auto.math.sqrt,1750,核心
auto.math.floor,1710,核心
auto.math.ceil,1711,核心
auto.math.round,1712,核心
auto.math.pow,1713,核心
auto.math.min_f,1714,核心
auto.math.max_f,1715,核心
auto.math.sin,1716,核心
auto.math.cos,1717,核心
auto.math.tan,1718,核心
auto.math.exp,1719,核心
auto.math.ln,1720,核心
auto.math.log2,1721,核心
auto.math.log10,1722,核心
auto.math.abs_f,1723,核心
auto.math.signum,1724,核心
auto.math.clamp,1725,核心
auto.math.asin,1726,核心
auto.math.acos,1727,核心
auto.math.atan,1728,核心
auto.math.atan2,1729,核心
auto.math.powi,1730,核心
auto.math.powf,1731,核心
auto.math.to_radians,1732,核心
auto.math.to_degrees,1733,核心
auto.rand.thread_rng,1850,核心
auto.rng.gen_range,1851,核心
auto.rng.gen,1852,核心
auto.rng.drop,1853,核心
auto.rand.random,1854,核心
auto.json.encode,1900,核心
auto.json.decode,1901,核心
auto.json.parse,1902,核心
auto.json.prettify,1903,核心
auto.json.minify,1904,核心
auto.json.is_valid,1905,核心
auto.json.get,1906,核心
auto.json.get_at,1907,核心
auto.json.len,1908,核心
auto.json.type_of,1909,核心
auto.json.as_string,1910,核心
auto.json.as_number,1911,核心
auto.json.as_int,1912,核心
auto.json.as_bool,1913,核心
auto.json.is_null,1914,核心
auto.json.keys,1915,核心
auto.json.has_key,1917,核心
auto.json.to_value,3100,核心
auto.json.from_value,3101,核心
auto.http.get_json,3102,剔除(UI/异步)
auto.http.post_json,3103,剔除(UI/异步)
auto.http.put_json,3104,剔除(UI/异步)
auto.http.delete_json,3105,剔除(UI/异步)
auto.http.patch_json,3107,剔除(UI/异步)
auto.http.sse_get_stream,3106,剔除(UI/异步)
auto.serde_json.to_string,1900,核心
auto.json.to_string,1900,核心
auto.serde_json.from_str,1902,核心
auto.toml.from_str,2750,核心
auto.toml.to_string,2751,核心
auto.url.encode,2000,核心
auto.url.decode,2001,核心
auto.url.encode_query,2002,核心
auto.url.decode_query,2003,核心
auto.url.parse,2006,核心
auto.url.scheme,2007,核心
auto.url.host,2008,核心
auto.url.port,2009,核心
auto.url.path,2010,核心
auto.url.query,2011,核心
auto.url.fragment,2012,核心
auto.url.join_path,2015,核心
auto.net.tcp_bind,2100,核心
auto.net.tcp_listener_accept,2101,核心
auto.net.tcp_listener_local_addr,2102,核心
auto.net.tcp_listener_close,2103,核心
auto.net.tcp_connect,2104,核心
auto.net.tcp_stream_read,2105,核心
auto.net.tcp_stream_write,2106,核心
auto.net.tcp_stream_read_all,2107,核心
auto.net.tcp_stream_read_line,2108,核心
auto.net.tcp_stream_write_str,2109,核心
auto.net.tcp_stream_close,2110,核心
auto.net.tcp_stream_peer_addr,2111,核心
auto.net.tcp_stream_set_read_timeout,2112,核心
auto.net.tcp_stream_set_write_timeout,2113,核心
auto.net.tcp_stream_flush,2114,核心
auto.net.tcp_stream_set_nodelay,2115,核心
auto.http.server,2200,剔除(UI/异步)
auto.http.server_get,2201,剔除(UI/异步)
auto.http.server_post,2202,剔除(UI/异步)
auto.http.server_put,2203,剔除(UI/异步)
auto.http.server_delete,2204,剔除(UI/异步)
auto.http.server_static,2205,剔除(UI/异步)
auto.http.server_listen,2206,剔除(UI/异步)
auto.http.response,2210,剔除(UI/异步)
auto.http.response_status,2211,剔除(UI/异步)
auto.http.response_header,2212,剔除(UI/异步)
auto.http.response_text,2213,剔除(UI/异步)
auto.http.response_html,2214,剔除(UI/异步)
auto.http.response_bytes,2215,剔除(UI/异步)
auto.http.response_redirect,3108,剔除(UI/异步)
auto.http.rate_limit,3109,剔除(UI/异步)
auto.http.response.redirect,2219,剔除(UI/异步)
auto.session.create,2284,核心
auto.session.get,2285,核心
auto.session.set,2286,核心
auto.session.destroy,2287,核心
auto.http.server_use,2288,剔除(UI/异步)
auto.http.server_middleware,2288,剔除(UI/异步)
auto.template.compile,2289,核心
auto.template.render,2290,核心
auto.openapi.generate,2291,核心
auto.http.response.status_code,2216,剔除(UI/异步)
auto.http.response.header_get,2217,剔除(UI/异步)
auto.http.response.body,2218,剔除(UI/异步)
auto.http.ok,2220,剔除(UI/异步)
auto.http.created,2221,剔除(UI/异步)
auto.http.bad_request,2222,剔除(UI/异步)
auto.http.not_found,2223,剔除(UI/异步)
auto.http.internal_error,2224,剔除(UI/异步)
auto.http.get,2230,剔除(UI/异步)
auto.http.post,2231,剔除(UI/异步)
auto.http.put,2232,剔除(UI/异步)
auto.http.delete,2233,剔除(UI/异步)
